"Reporting starts","Reporting ends","Ad set name",Text,Age,"Ad set delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (ZAR)",Impressions,Reach,Ends,Starts,"Attribution setting",Bid,"Bid type","Last significant edit"
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Escape to tranquility!

• Scenic river views
• Relaxed atmosphere
• Fully stocked cash bar

Join our 1-hour Leisure Cruise on the Vaal River for a Sunday Funday like no other! 

R250/adult | R125/child U/12. Limited spots available - when are you booking your seat? WhatsApp 083 749 0224 now!",25-34,not_delivering,,,,"Using campaign budget",0,1.479906,66,63,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Escape to tranquility!

• Scenic river views
• Relaxed atmosphere 
• Fully stocked cash bar

Join our 1-hour Leisure Cruise on the Vaal River, Sundays & public holidays from 10H30 - 11H30. Only R250/adult and R125/child U12.

Limited spots! Book now via WhatsApp: 083 749 0224",25-34,not_delivering,,,,"Using campaign budget",0,0.729954,38,30,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Weekend vibes! 
Tired of the same old routine? 

Escape to our 1-hour Leisure Cruise on the Vaal River!
Enjoy scenic views, a relaxed atmosphere & a fully stocked cash bar.

When: Sundays & public holidays | Time: 10H30 – 11H30
R250/adult | R125/child U12

Limited spots available! WhatsApp 083 749 0224 to book now",25-34,not_delivering,1,actions:onsite_conversion.messaging_conversation_started_7d,1.52990318,"Using campaign budget",0,1.529903,82,81,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","A simple, relaxing escape on the water.

Our Leisure Cruise is a 1-hour experience on the Vaal River, perfect for a quick outing with friends or family.

@ R250.00 per adult | R125.00 per child U/12
 (No food – drinks available on board)

Runs Sundays & public holidays
Spots are limited – secure yours now.
WhatsApp to book your seat 083 749 0224",25-34,not_delivering,,,,"Using campaign budget",0,2.659832,113,102,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Escape to serenity! 
Unwind on our 1-hour Leisure Cruise on the Vaal River. 
Enjoy a relaxed atmosphere and scenic river views.
From R125 (kids under 12) | R250 adults
Fully stocked cash bar onboard!
Sundays & public holidays, 10H30 – 11H30.
Limited spots available... book now and breathe easy!
WhatsApp 083 749 0224 to reserve your seat",25-34,not_delivering,,,,"Using campaign budget",0,1.219923,54,47,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Weekend plans? 
Join our 1-hour Leisure Cruise on the Vaal River: R250/adult, R125/child U/12. 
Scenic views, relaxed atmosphere & cash bar.
Sundays & public holidays, 10H30-11H30. Limited spots! Book now via WhatsApp: 083 749 0224",25-34,not_delivering,8,actions:onsite_conversion.messaging_conversation_started_7d,3.55727488,"Using campaign budget",0,28.458199,1759,1284,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Sunday FOMO alert! 
Limited spots left for our 2-hour Vaal River cruise + buffet lunch. R680/adult, R340/child U/12.
• Full buffet meal
 • Live entertainment
 • Scenic river views

Book now & secure your spot: WhatsApp 083 749 0224",25-34,not_delivering,,,,"Using campaign budget",0,0.709955,51,44,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Sunday Funday Alert!
Transform your lazy Sundays into an unforgettable experience! 
• 2-hour Vaal River cruise
• Scenic views & live entertainment
• Full buffet lunch 

R680/adult | R340/child U12. Limited spots available! WhatsApp 083 749 0224 to book now",25-34,not_delivering,,,,"Using campaign budget",0,0.299981,17,16,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Good food. Great views. No stress.
Join our Sunday Lunch Cruise and enjoy a full buffet while cruising the Vaal River.

2-hour experience | R680.00 per adult | R340.00 per child U/12

Perfect for birthdays, family days, or just getting out of the house.

Seats fill up quickly – don’t miss out.",25-34,not_delivering,,,,"Using campaign budget",0,1.029935,47,44,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Turn your Sunday into something special.

Enjoy a 2-hour cruise + buffet lunch on the Vaal River
 R680.00 per adult | R340.00 per child U/12
• Full buffet meal
 • Live entertainment
 • Scenic river views

Time: Sundays 13H00 – 15H00

Limited availability – book your table today.

WhatsApp to book your seat 083 749 0224",25-34,not_delivering,1,actions:onsite_conversion.messaging_conversation_started_7d,1.38991204,"Using campaign budget",0,1.389912,21,14,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Sundays just got better!
Enjoy a 2-hour Vaal River cruise with live entertainment & scenic views
Indulge in our full buffet meal for only R680/adult, R340/child U/12 
When: Sundays, 13H00 – 15H00. Limited spots! WhatsApp to book: 083 749 0224",25-34,not_delivering,,,,"Using campaign budget",0,10.689324,354,300,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Sunday Funday alert!
Escape to a 2-hour Vaal River cruise with buffet lunch & live entertainment! 
R680/adult | R340/child U12
• Full buffet meal
• Breathtaking views

This Sunday, 13H00 – 15H00. Limited spots left!
Book your seat now and make it unforgettable! WhatsApp 083 749 0224",25-34,not_delivering,,,,"Using campaign budget",0,0.549965,17,15,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Sunday Funday Alert!

Treat yourself to a 2-hour Vaal River cruise & buffet lunch! 
• Feast on our full buffet spread
 • Groove to live entertainment
 • Take in the stunning river views

This Sunday, 13H00-15H00. Limited spots available!
Book now and make it unforgettable! WhatsApp 083 749 0224",25-34,not_delivering,,,,"Using campaign budget",0,3.199798,215,189,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Looking for something different this weekend?

Join our 1-hour Leisure Cruise on the Vaal River
R250.00 per adult | R125.00 per child U/12
• Scenic river views
 • Relaxed atmosphere
 • Fully stocked cash bar

Times: Sundays & public holidays 10H30 – 11H30

Limited spots available – book your seat now.

WhatsApp to book your seat 083 749 0224",35-44,not_delivering,,,,"Using campaign budget",0,10.889311,606,580,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Escape to tranquility!

• Scenic river views
• Relaxed atmosphere
• Fully stocked cash bar

Join our 1-hour Leisure Cruise on the Vaal River for a Sunday Funday like no other! 

R250/adult | R125/child U/12. Limited spots available - when are you booking your seat? WhatsApp 083 749 0224 now!",35-44,not_delivering,1,actions:onsite_conversion.messaging_conversation_started_7d,1.9798747,"Using campaign budget",0,1.979875,116,100,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Escape to tranquility!

• Scenic river views
• Relaxed atmosphere 
• Fully stocked cash bar

Join our 1-hour Leisure Cruise on the Vaal River, Sundays & public holidays from 10H30 - 11H30. Only R250/adult and R125/child U12.

Limited spots! Book now via WhatsApp: 083 749 0224",35-44,not_delivering,,,,"Using campaign budget",0,1.059933,60,50,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Weekend vibes! 
Tired of the same old routine? 

Escape to our 1-hour Leisure Cruise on the Vaal River!
Enjoy scenic views, a relaxed atmosphere & a fully stocked cash bar.

When: Sundays & public holidays | Time: 10H30 – 11H30
R250/adult | R125/child U12

Limited spots available! WhatsApp 083 749 0224 to book now",35-44,not_delivering,1,actions:onsite_conversion.messaging_conversation_started_7d,3.32978927,"Using campaign budget",0,3.329789,166,149,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","A simple, relaxing escape on the water.

Our Leisure Cruise is a 1-hour experience on the Vaal River, perfect for a quick outing with friends or family.

@ R250.00 per adult | R125.00 per child U/12
 (No food – drinks available on board)

Runs Sundays & public holidays
Spots are limited – secure yours now.
WhatsApp to book your seat 083 749 0224",35-44,not_delivering,,,,"Using campaign budget",0,3.409784,155,127,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Escape to serenity! 
Unwind on our 1-hour Leisure Cruise on the Vaal River. 
Enjoy a relaxed atmosphere and scenic river views.
From R125 (kids under 12) | R250 adults
Fully stocked cash bar onboard!
Sundays & public holidays, 10H30 – 11H30.
Limited spots available... book now and breathe easy!
WhatsApp 083 749 0224 to reserve your seat",35-44,not_delivering,,,,"Using campaign budget",0,1.779887,78,62,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Weekend plans? 
Join our 1-hour Leisure Cruise on the Vaal River: R250/adult, R125/child U/12. 
Scenic views, relaxed atmosphere & cash bar.
Sundays & public holidays, 10H30-11H30. Limited spots! Book now via WhatsApp: 083 749 0224",35-44,not_delivering,8,actions:onsite_conversion.messaging_conversation_started_7d,6.61458139,"Using campaign budget",0,52.916651,2634,1959,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Sunday FOMO alert! 
Limited spots left for our 2-hour Vaal River cruise + buffet lunch. R680/adult, R340/child U/12.
• Full buffet meal
 • Live entertainment
 • Scenic river views

Book now & secure your spot: WhatsApp 083 749 0224",35-44,not_delivering,,,,"Using campaign budget",0,1.41991,71,59,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Sunday Funday Alert!
Transform your lazy Sundays into an unforgettable experience! 
• 2-hour Vaal River cruise
• Scenic views & live entertainment
• Full buffet lunch 

R680/adult | R340/child U12. Limited spots available! WhatsApp 083 749 0224 to book now",35-44,not_delivering,,,,"Using campaign budget",0,0.31998,31,25,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Good food. Great views. No stress.
Join our Sunday Lunch Cruise and enjoy a full buffet while cruising the Vaal River.

2-hour experience | R680.00 per adult | R340.00 per child U/12

Perfect for birthdays, family days, or just getting out of the house.

Seats fill up quickly – don’t miss out.",35-44,not_delivering,1,actions:onsite_conversion.messaging_conversation_started_7d,1.05993292,"Using campaign budget",0,1.059933,46,42,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Turn your Sunday into something special.

Enjoy a 2-hour cruise + buffet lunch on the Vaal River
 R680.00 per adult | R340.00 per child U/12
• Full buffet meal
 • Live entertainment
 • Scenic river views

Time: Sundays 13H00 – 15H00

Limited availability – book your table today.

WhatsApp to book your seat 083 749 0224",35-44,not_delivering,,,,"Using campaign budget",0,0.449972,28,25,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Sundays just got better!
Enjoy a 2-hour Vaal River cruise with live entertainment & scenic views
Indulge in our full buffet meal for only R680/adult, R340/child U/12 
When: Sundays, 13H00 – 15H00. Limited spots! WhatsApp to book: 083 749 0224",35-44,not_delivering,5,actions:onsite_conversion.messaging_conversation_started_7d,3.65976839,"Using campaign budget",0,18.298842,963,788,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Sunday Funday alert!
Escape to a 2-hour Vaal River cruise with buffet lunch & live entertainment! 
R680/adult | R340/child U12
• Full buffet meal
• Breathtaking views

This Sunday, 13H00 – 15H00. Limited spots left!
Book your seat now and make it unforgettable! WhatsApp 083 749 0224",35-44,not_delivering,,,,"Using campaign budget",0,0.909942,32,26,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Sunday Funday Alert!

Treat yourself to a 2-hour Vaal River cruise & buffet lunch! 
• Feast on our full buffet spread
 • Groove to live entertainment
 • Take in the stunning river views

This Sunday, 13H00-15H00. Limited spots available!
Book now and make it unforgettable! WhatsApp 083 749 0224",35-44,not_delivering,1,actions:onsite_conversion.messaging_conversation_started_7d,4.5697108,"Using campaign budget",0,4.569711,270,253,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Looking for something different this weekend?

Join our 1-hour Leisure Cruise on the Vaal River
R250.00 per adult | R125.00 per child U/12
• Scenic river views
 • Relaxed atmosphere
 • Fully stocked cash bar

Times: Sundays & public holidays 10H30 – 11H30

Limited spots available – book your seat now.

WhatsApp to book your seat 083 749 0224",45-54,not_delivering,2,actions:onsite_conversion.messaging_conversation_started_7d,4.43471935,"Using campaign budget",0,8.869439,346,306,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Escape to tranquility!

• Scenic river views
• Relaxed atmosphere
• Fully stocked cash bar

Join our 1-hour Leisure Cruise on the Vaal River for a Sunday Funday like no other! 

R250/adult | R125/child U/12. Limited spots available - when are you booking your seat? WhatsApp 083 749 0224 now!",45-54,not_delivering,,,,"Using campaign budget",0,1.689893,51,49,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Escape to tranquility!

• Scenic river views
• Relaxed atmosphere 
• Fully stocked cash bar

Join our 1-hour Leisure Cruise on the Vaal River, Sundays & public holidays from 10H30 - 11H30. Only R250/adult and R125/child U12.

Limited spots! Book now via WhatsApp: 083 749 0224",45-54,not_delivering,,,,"Using campaign budget",0,0.989937,28,20,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Weekend vibes! 
Tired of the same old routine? 

Escape to our 1-hour Leisure Cruise on the Vaal River!
Enjoy scenic views, a relaxed atmosphere & a fully stocked cash bar.

When: Sundays & public holidays | Time: 10H30 – 11H30
R250/adult | R125/child U12

Limited spots available! WhatsApp 083 749 0224 to book now",45-54,not_delivering,,,,"Using campaign budget",0,1.809885,45,42,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","A simple, relaxing escape on the water.

Our Leisure Cruise is a 1-hour experience on the Vaal River, perfect for a quick outing with friends or family.

@ R250.00 per adult | R125.00 per child U/12
 (No food – drinks available on board)

Runs Sundays & public holidays
Spots are limited – secure yours now.
WhatsApp to book your seat 083 749 0224",45-54,not_delivering,,,,"Using campaign budget",0,2.779824,93,87,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Escape to serenity! 
Unwind on our 1-hour Leisure Cruise on the Vaal River. 
Enjoy a relaxed atmosphere and scenic river views.
From R125 (kids under 12) | R250 adults
Fully stocked cash bar onboard!
Sundays & public holidays, 10H30 – 11H30.
Limited spots available... book now and breathe easy!
WhatsApp 083 749 0224 to reserve your seat",45-54,not_delivering,,,,"Using campaign budget",0,0.909942,40,32,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Weekend plans? 
Join our 1-hour Leisure Cruise on the Vaal River: R250/adult, R125/child U/12. 
Scenic views, relaxed atmosphere & cash bar.
Sundays & public holidays, 10H30-11H30. Limited spots! Book now via WhatsApp: 083 749 0224",45-54,not_delivering,5,actions:onsite_conversion.messaging_conversation_started_7d,7.07755209,"Using campaign budget",0,35.38776,1500,1140,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Sunday FOMO alert! 
Limited spots left for our 2-hour Vaal River cruise + buffet lunch. R680/adult, R340/child U/12.
• Full buffet meal
 • Live entertainment
 • Scenic river views

Book now & secure your spot: WhatsApp 083 749 0224",45-54,not_delivering,,,,"Using campaign budget",0,0.809949,36,30,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Sunday Funday Alert!
Transform your lazy Sundays into an unforgettable experience! 
• 2-hour Vaal River cruise
• Scenic views & live entertainment
• Full buffet lunch 

R680/adult | R340/child U12. Limited spots available! WhatsApp 083 749 0224 to book now",45-54,not_delivering,,,,"Using campaign budget",0,0.709955,21,16,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Good food. Great views. No stress.
Join our Sunday Lunch Cruise and enjoy a full buffet while cruising the Vaal River.

2-hour experience | R680.00 per adult | R340.00 per child U/12

Perfect for birthdays, family days, or just getting out of the house.

Seats fill up quickly – don’t miss out.",45-54,not_delivering,1,actions:onsite_conversion.messaging_conversation_started_7d,1.47990634,"Using campaign budget",0,1.479906,49,42,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Turn your Sunday into something special.

Enjoy a 2-hour cruise + buffet lunch on the Vaal River
 R680.00 per adult | R340.00 per child U/12
• Full buffet meal
 • Live entertainment
 • Scenic river views

Time: Sundays 13H00 – 15H00

Limited availability – book your table today.

WhatsApp to book your seat 083 749 0224",45-54,not_delivering,,,,"Using campaign budget",0,0.339978,14,14,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Sundays just got better!
Enjoy a 2-hour Vaal River cruise with live entertainment & scenic views
Indulge in our full buffet meal for only R680/adult, R340/child U/12 
When: Sundays, 13H00 – 15H00. Limited spots! WhatsApp to book: 083 749 0224",45-54,not_delivering,4,actions:onsite_conversion.messaging_conversation_started_7d,4.84219356,"Using campaign budget",0,19.368774,760,605,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
2026-03-24,2026-05-11,"LL Public Cruises - Evergreen ad Sets","Sunday Funday alert!
Escape to a 2-hour Vaal River cruise with buffet lunch & live entertainment! 
R680/adult | R340/child U12
• Full buffet meal
• Breathtaking views

This Sunday, 13H00 – 15H00. Limited spots left!
Book your seat now and make it unforgettable! WhatsApp 083 749 0224",45-54,not_delivering,,,,"Using campaign budget",0,1.249921,17,14,Ongoing,2026-03-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T14:10:11+0200
